sample-id,Locality,Elevation ,WaterTemp,WaterPH,DO,MeanMaxTemp,MeanMinTemp,Precipitation,GeneticCluster,WaterTemp_mean,WaterPH_mean,DO_mean,BdLog,BodyCondition,MLH,Fis,BdPresence,BdPrev,PC1,Morphotype,Morphotype_tassel
AlTe15,D,3087,10.1,6.7,85.1,20,6,21.29999924,Tlazala,10.52,6.6185,81.38,2.943758857,12.56351731,0.408071506,-0.03909,1,100,36.69198462,Non-metamorphic,0
AlTe16,D,3087,10.1,6.7,85.1,20,6,21.29999924,Tlazala,10.52,6.6185,81.38,3.013187331,14.12278768,0.414030336,-0.0825,1,100,32.62596748,Non-metamorphic,0
AlTe17,D,3087,10.1,6.7,85.1,20,6,21.29999924,Tlazala,10.52,6.6185,81.38,2.865645631,9.44219389,0.398049837,0.007314,1,100,42.77707016,Non-metamorphic,0
AlTe18,D,3087,10.1,6.7,85.1,20,6,21.29999924,Tlazala,10.52,6.6185,81.38,2.299439078,13.12583109,0.396370531,0.09902,1,100,41.49497959,Non-metamorphic,0
AlTe19,D,3087,10.1,6.7,85.1,20,6,21.29999924,Tlazala,10.52,6.6185,81.38,1.797838946,12.71050892,0.400830625,0.01236,1,100,37.40090638,Non-metamorphic,0
AlTe20,D,3087,10.1,6.7,85.1,20,6,21.29999924,Tlazala,10.52,6.6185,81.38,3.201090074,9.362230029,0.404460094,0.01574,1,100,37.81747059,Non-metamorphic,0
AlVC01,E,2744,17.8,8.1,117.7,24,7,16.20000076,VillaCarbon,18.16190476,8.10952381,114.1428571,4.701145083,8.712370639,0.41007584,0.03987,1,100,-169.0496621,Non-metamorphic,0
AlVC02,E,2744,17.8,8.1,117.7,24,7,16.20000076,VillaCarbon,18.16190476,8.10952381,114.1428571,4.502857764,11.5866549,0.421650415,-0.05324,1,100,-163.4588122,Non-metamorphic,0
AlVC03,E,2744,17.8,8.1,117.7,24,7,16.20000076,VillaCarbon,18.16190476,8.10952381,114.1428571,2.542113422,12.70173621,0.40227519,0.03501,1,100,-167.7468322,Non-metamorphic,0
AlVC04,E,2744,17.8,8.1,117.7,24,7,16.20000076,VillaCarbon,18.16190476,8.10952381,114.1428571,2.373486288,11.11732341,0.414247021,-0.02054,1,100,-177.3308609,Metamorphic,1
AlVC05,E,2744,17.8,8.1,117.7,24,7,16.20000076,VillaCarbon,18.16190476,8.10952381,114.1428571,3.358784287,13.27238731,0.42708559,-0.07863,1,100,-173.2830911,Non-metamorphic,0
AlVC06,E,2744,17.8,8.1,117.7,24,7,16.20000076,VillaCarbon,18.16190476,8.10952381,114.1428571,4.241521429,14.12278768,0.41682918,0.01987,1,100,-172.1267826,Non-metamorphic,0
AlVC07,E,2744,17.8,8.1,117.7,24,7,16.20000076,VillaCarbon,18.16190476,8.10952381,114.1428571,3.652319378,11.11329676,0.406229686,0.08214,1,100,-170.3510221,Non-metamorphic,0
